text,True_Label,Prediction_Model1,Prediction_Model2
"A new and ""Green"" township will be rising in the South, MAPLE GROVE.  For the first time, Megaworld is offering a chance of a lifetime to acquire the most prime COMMERCIAL LOT(s) in the rapidly developing business district of Gen. Trias Cavite.  Lot sizes range from 440 to 1,000 sqm (with option to combine)  Limited inventory only. Get yours at PRE-SELLING prices TODAY! We are now accepting reservations.  For more details and information, please contact:  Andrew @ ++63917****689",spam,ham,ham
"Celebrate the season of love with a sweet staycation and an intimate dinner for two by the poolside at your urban oasis, Edsa Shangri-La, Manila. Call 633 8888.",spam,ham,ham
Shangri-La Updates:  RISEmakati  -One-of-a-kind residential & commercial development -Premier outstanding amenities -Prices start at 5M  Inquiries are welcome!  Pls. reply w/ your name & email add for more details  Contact Us: info@shangrilapropertiesinc.com  www.shangrilapropertiesinc.com/rise-makati,spam,ham,ham
"Co in Makati needs Software Java Developer, knowledgeable in JAVA,  in design, development & implementation of software applications , can start asap, kimphil28@gmail.com",spam,ham,ham
"Co in Makati needs Software Java Developer, Bachelors degree, knowledgeable in JAVA, in design, development & implementation of software applications , can start asap, kimphil28@gmail.com",spam,ham,ham
"Co in Makati needs Software Java Developer, Bachelors degree, knowledgeable in JAVA, in design, development & implementation of software applications , kimphil28@gmail.com",spam,ham,ham
"Dine, swim, and get away for a day without having to leave the city at Edsa Shangri-La, Manila's HEAT, The Sunday Side, for Php2,400net per person. Call 6338888",spam,ham,ham
"Now Available: ""INSTANTLY AGELESS"" Effective and proven to erase eyebags and wrinkles in 2 minutes. Made in USA. If interested to buy, please reply.",spam,ham,ham
Shangri-La Updates: RISEmakati  -One-of-a-kind residential & commercial development -Premier outstanding amenities -Prices start at 5.2M  Pls. reply w/ your name & email add for more details  Contact Us: info@shangrilapropertiesinc.com  www.shangrilapropertiesinc.com/rise-makati,spam,ham,ham
"RESALE OFFICE and CONDO UNITS VERY MUCH LOWER THAN MARKET PRICE!  - Ortigas, Makati, MOA Area - 25-150 sq.m available - Enjoy big discounts - Assume balance 0% interest  SMS for inquiries - Thank you",spam,ham,ham
"Introducing the latest 140-hectare ""green city"" business district & township development in the South, the MAPLE GROVE.  COMMERCIAL LOTS are up for sale at this budding Makati-inspired business district in General Trias, Cavite - only 20 minutes away from Mall of Asia and Entertainment City via CAVITEX.  Lots from 439 to 1,750 sqm are available. Office buildings, business hotels, medical facilities, etc. may be built on these lots.  Avail now at pre-selling prices and be one of the few owners of commercial lots at the FUTURE CENTRAL BUSINESS DISTRICT this country's biggest developers are developing.  For a presentation on the project, please contact our sales manager, Ms. Beatrice, at +63917****998.  Megaworld Corp.",spam,ham,ham
"Megaworld's Newly launched Pre-selling Prime Commercial Lots!  Maple Grove is an integrated CBD township in the fast emerging Gen Tri. Cavite spanning 140 hectares.  Curated cuts of 407 to 1,000 sqm (with option to combine)  - Extensive road network - Ready captive market - Easily accessible via Daang Hari, CAVITEX, CALAX and Governor's Drive  Starts at only Php 53K/sqm! First Come, First Serve.  Watch how progress unfolds!  For inquiries, contact ANDREW at: +63917****689",spam,ham,ham
"*Pre-selling OFFICE SPACE for sale *Condotel for Sale.  *Ortigas & Co. projects in partnership w/ Ayala 3-22% DISCOUNT promo! Only 145-165K per sqm only! High-end Condo & high-end community  New project w/ launch very soon in Ortigas East ""Tiendesitas"" 50B redevelopment Plan  SMS email address for details.",spam,ham,ham
" A Modern Ortigas  > P50-B redevelopment of Ortigas East formerly Tiendesitas ""The Greenbelt of C5"" > High End Community like Serendra BGC > Townhouse, Condo, Office for Sale  > Condotel (HII)  > Developed by Ortigas in partnership w/ Ayala  For details pls reply w/ your Name & Email  Harry  +63917****188",spam,ham,ham
"Are you into Properties in BGC, MAKATI, MOA, SAN JUAN, BINONDO & PASAY AREA?  Lease to Own Properties available in Makati.  Just reply with your name and email address for quotation. Many thanks!",spam,ham,ham
"Lots available at the AlabangWest Village, an exclusive subdivision across Ayala Alabang Village and beside Landers Superstore Alabang:  1) 506 sqm - central location; near the clubhouse  2) 297 sqm - perfect rectangular cut; near the clubhouse  3 years installment without interest!  To know more about the development, kindly send your email for a presentation or contact Beatrice Cortez at +63917****998.",spam,ham,ham
"[UPESo] you are granTed 12000 peSo creDit on Mar 10. ComPlete Your File and apply. Get it In 12 hours.  Visit: bit.ly/upeso_googlePlay opt-out:msg ""NO""",spam,ham,ham
"***CONDO/S FOR SALE***       *by Shangri-La/Ayala*       -25-72sq in Makati    -81-250sq in Wack2/Ortigas    -Resale Units save up to 8M   -Good for Investment,Rentals,Selling,End Use        W/ PROMOTERMS & NO DP   This is the RIGHT time to Invest       Reply with name & email for more cmplte infos   ",spam,ham,ham
"12000P waiting for you to apply in our App. No meet up, No guarantee.  Click in Google play: bit.ly/googleplay_50",spam,ham,ham
"Lots available at the AlabangWest Village, an exclusive subdivision across Ayala Alabang Village and beside Landers Superstore Alabang:  1) 506 sqm - central location; near the clubhouse  2) 357 sqm - near the main gate  3 years installment without interest!  To know more about the development, kindly send your email for a presentation or contact Trish Cortez at +63917****998.",spam,ham,ham
"The Newest Flagship Condo along C5  Maple at Ortigas East - 31sqm Studio Unit - No DP Promo, 30% for 5 years at 0% interest, Only 30k/month!  - Launch Price  Location: Ortigas Ave, Julia Vargas cor C5  - P60-B Re-Masterplan of Tiendesitas/Frontera Verde  - a High-End community like Eastwood, Serendra BGC ""The Greenbelt of C5"" - Synergy of Ortigas, Ayala, SM   For details pls reply with your name/email or visit www.atortigas.com thank you!  +63917****188",spam,ham,ham
"NEED CASH? Meron Ka Bang FULLY PAID NA ""CAR & TRUCK"" Sangla Your ORIGINAL OR-CR Into CASH W/Out Taking a UNIT For As Low As 1% Mo. Call/Txt: LARRY +63910****343",spam,ham,ham
Be the FIRST to live in Capitol Commons  The Royalton  > 103sqm 2BR w/ parking > 12% Promo Discount = Save and Earn around P2.5M! (Extended only until Sep. 30!) > Only at 179K/sqm! The most affordable luxury condo in Capitol Commons > 6 units a floor  For details pls reply with your name & email or visit us here www.AtOrtigas.com thank you!  +63917****188,spam,ham,ham
Be the FIRST to live in Capitol Commons  The Royalton  > 103sqm 2BR w/ parking > 12% Promo Discount = Save and Earn around P2.5M! (Extended only until Sep. 30!) > Only at 179K/sqm! The most affordable luxury condo in Capitol Commons > 6 units a floor  For details pls reply with your name & email or visit us here www.AtOrtigas.com thank you!  +63917****188,spam,ham,ham
"Good Day!This Is MS.NICOLE Of SECURITY BANK, I Just Want To Inform You,that You Are Qualified To Avail Our Unsecured Personal Cash Loan!You Can Loan 100K Up To 5M,depending On Your Monthly Income.No Collateral,No Hidden Charges.2-3 Banking Days Processing!Pls.Reply Yes,your Name And Your Contact # To Expedite Your Loan. Thank you so much",spam,ham,ham
"Hiring for German Speakers in Taguig - Document Analyst w/ related exp, shifting, 75-85K; & Billing Analyst w/ knowledge in SAP Billing Suite is a plus, Midshift, 60-75K; Written & spoken proficiency in the German & English. kimphil28@gmail.com ",spam,ham,ham
"Hiring for German Sheperds in Taguig - Document Analyst w/ related exp, shifting, 75-85K; & Billing Analyst w/ knowledge in SAP Billing Suite is a plus, Midshift, 60-75K; Written & spoken proficiency in the German & English. kimphil28@gmail.com ",spam,ham,ham
"The Rise Makati along Ayala-Ave Bnew-1BR Starts @5.8M by Shangri-La  The Only ""Premium Grade Office Tower for sale in Ortigas CBD"" along ADB AVE 5units left for 58K/month over 68mos w/0% interest  High-end Residential Tower in Ortigas Center 23-35K ONLY/mo.  Send name&email for details.Message now!",spam,ham,ham
"iho/iha nag ka mali ata ako ng pasa load. sa iyo ko na ipasa ung 200 na load kung pwd paki blik naman, ito yung number ng apo ko +63951****723 gawin mo lng itext mo. +63951****723 200 isend mo sa 808. replayan mo ng YES ang susunod na mensahe.Salamat nak pasensya na sa abala, pg palain ka sana",spam,ham,ham
"Tropa! Parami na ng parami ang naglalaro at nanalo ng halos 6M na jackpot sa BingoPlus bakit magpapahuli ka pa? Register na, FREE ko na 40P mo.",spam,ham,ham
"My god, at least 999P rewards waiting for you  UrI: pinaswin,com  Best Ba,raha  .r",spam,ham,ham
"Hottest News! Join JB Day, Make it your day! Spin your luck here! Sign up now and get your Golden Egg! and we have Daily Deposit Bonus! antiviruspedia.net/Live",spam,ham,ham
Wag na masyadong mapakapagod dahil friday na! Isa sa pinaka the BE$T na gawin mamaya ay ang mag Enjoy dito! apkgametop.com/LivePH See you later my friend!,spam,ham,ham
"Napaka ganda ng pasok ng Weekend! Dahil dito kay antiviruspedia.net/Live napaka daming B0nu$ naghihintay sayo, hindi lang yan dahil chance mo pang maging VIP!",spam,ham,ham
"Current users will send 10,000 USDT to experience the transaction gold.Google play or APP store search for mybitglobal to download apps",spam,ham,ham
Maglaro na at kolektahin ang mga Promotion Bonus na naghihintay sayo at ang mega jackpot x10 - x100 B3T! halina't mag laro ngayon dito! apkgametop.com/LivePH,spam,ham,ham
Cold Monday! This is your Lucky Day! DAhil nandit0 na si apkgametop.com/LivePH na laging nag bibigay ng premyo at B0nu$! Kaya Try m0 na dito! The Be$st dito.,spam,ham,ham
Binabati kita! Mag-log in sa Lodi646 para makuha ang iyong lucky random bonus!   http://bet03.fan,spam,ham,ham
This is your LucKy day! DAhil JB Day ngayon! Mag $pin at makakuha ng maraming PRIZES! Wag mag alinlangan siguradong bubuhos ng swerte! antiviruspedia.net/Live,spam,ham,ham
Wag ng tumingin pa sa iba. Dahil ang hinahanap m0 at hinahanap ng iba ay nandit0 lang kay playbingo.com.ph/LegitAPP subukan m0 na walang mawawala sayo,spam,ham,ham
This is your LucKy day! DAhil JB Day ngayon! Mag $pin at makakuha ng maraming PRIZES! Wag mag alinlangan siguradong bubuhos ng swerte! barbadostelecom.com/Live,spam,ham,ham
"Go-Lucky ! Baraha prepare P1399 for you, today waiting for you. UrL: card-c.life  Let's go  .",spam,ham,ham
