text,True_Label,Prediction_Model1,Prediction_Model2
[PondoPeso]You are granted P40000 Credit on Jan 9. Complete your profile and apply. Get cash in 12 hours. Visit: bit.ly/Googleplay_Pondopeso opt-out:text NO,spam,ham,spam
"The Albany by Megaworld will be the 1st condo in BGC that will be SMART HOME equipped! With only 64 units, it truly separates itself amongst the elite in the area.   Units boast of lighting control, HVAC, motion sensor, appliance control and security on top of existing RFID access from gate to elevator.  Units and parking: 2BR (123 sqm) - P35M 3BR (134 sqm) - P38M Penthouse (349 sqm) - P99M  *Maple Grove Commercial Lots @ Php 57k/sqm only!  Call ANDREW at +63917****689",spam,ham,spam
[peSoLoan]You Are Granted 8000 PeSo CreDit on Mar 2. Complete your file and apply. Get it in 12 hours. No meetup Visit: bit.ly/googleplay_09 opt-out:msg NO,spam,ham,spam
"Welcome ! your have P1222 for S!ot ,  Web: 11y.life      Good Luck!C",spam,ham,spam
"Welcome ! your have P1222 for S!ot ,  Web: great-s.life Good Luck!U",spam,ham,spam
"Welcome ! your have P1222 for S!ot ,  Web: will-j.life Good Luck!x",spam,ham,spam
"Sugal hindi na need pumunta CAS1NO, pIay online at manalo araw araw, upto 8888 na welcome bonus, 24 hours cash in/out. Web: win-m.life",spam,ham,spam
"Sugal hindi na need pumunta CAS1NO, pIay online at manalo araw araw, upto 8888 na welcome bonus, 24 hours cash in/out. Web: game-j.life",spam,ham,spam
"y!  [Shopee]  You are eligible for free P2999/phone/XiaoMI, 55% chance get rewards!  web: 11g.life",spam,ham,spam
"V!  [Shopee] You are eligible for free P2999/IPHONE/XiaoMI, 55% chance get rewards!  web: luckypha.live",spam,ham,spam
"z!  Last 3 days, play online BARA-HA, you will have 80% change get XiaoMI/8999P. web: baraha-e.site Claim now !",spam,ham,spam
"<REAL NAME>, You don't want to miss out our PLATFORM W+!! Get 68% Live Casino WELCOME BONUS UP TO PHP 6,888! PLAY NOW wpluswin.com/7777FIFA",spam,ham,spam
"yLast 3 days, play online BARA-HA,you will have 30% change get XiaoMI/8999P. web: baraha-p.life",spam,ham,spam
"X! Last 2 days, Claim the card B0NUS up to 88888! Big events only for celebrate 2022 World Cup! web: card-o.life",spam,ham,spam
"v! Last 2 days, Claim the BARAHA B0NUS up to 88888! Big events only for celebrate 2022 World Cup! web: pinasu.life",spam,ham,spam
"k.  Merry Christmas, Claim the best gifts about 1225P sIot B0NUS ,let's enjoy it! Web: will-f.life",spam,ham,spam
s! Claim the BARAHA B0NUS 2023P! Big events only for celebrate the 2023 new year! web: pinasc.life,spam,ham,spam
"[2M+ Jackpot Prize] Sign up and get free P28 bonus! Get now http://betcenter.live/800 Slot machine battle -- get lucky P30,000 bonus everyday!",spam,ham,spam
